State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Type,Rate Definition,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,Bottom Quartile,Top Quartile,Notes,Source,State Specific Comments,Rate Used in Calculating State Mean and Median
Alabama,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2019,Medicaid only,Administrative,48.5,49,50.6,41.7,56.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits: Ages 12 to 21,AWC-CH,Higher rates are better for this measure,Percentage with at Least 1 Well-Care Visit with a Primary Care Practitioner or Obstetrician/Gynecologist: Ages 12 to 21,2019,CHIP only,Administrative,37.0,49,50.6,41.7,56.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2019,Medicaid only,Administrative,91.2,41,87.6,85.9,89.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations. Administrative data sources are claims/encounters and state immunization registry.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2019,Medicaid only,Administrative,66.4,43,68.8,63.1,72.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations. Administrative data sources are claims/encounters and state immunization registry.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,"Percentage who had a Measles, Mumps, and Rubella (MMR) Vaccination by their Second Birthday",2019,CHIP only,Administrative,92.3,41,87.6,85.9,89.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. Administrative data sources are claims/encounters and state immunization registry.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status: Age 2,CIS-CH,Higher rates are better for this measure,Percentage Up-to-Date on Immunizations (Combination 3) by their Second Birthday,2019,CHIP only,Administrative,73.2,43,68.8,63.1,72.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. Administrative data sources are claims/encounters and state immunization registry.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 12 to 24 Months,2019,Medicaid only,Administrative,94.9,47,95.5,94.4,96.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 25 Months to 6 Years,2019,Medicaid only,Administrative,87.4,47,87.7,85.7,90.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 7 to 11 Years,2019,Medicaid only,Administrative,90.7,47,91.1,89.1,93.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 12 to 19 Years,2019,Medicaid only,Administrative,89.4,47,90.3,88.2,92.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 12 to 24 Months,2019,CHIP only,Administrative,97.8,47,95.5,94.4,96.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Year: Ages 25 Months to 6 Years,2019,CHIP only,Administrative,93.0,47,87.7,85.7,90.1,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 7 to 11 Years,2019,CHIP only,Administrative,94.4,47,91.1,89.1,93.6,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Children and Adolescents' Access to Primary Care Practitioners: Ages 12 Months to 19 Years,CAP-CH,Higher rates are better for this measure,Percentage with a PCP Visit in the Past Two Years: Ages 12 to 19 Years,2019,CHIP only,Administrative,91.1,47,90.3,88.2,92.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2019,Medicaid only,Administrative,10.6,47,49.9,44.7,58.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women Ages 16 to 20,CHL-CH,Higher rates are better for this measure,Percentage of Sexually Active Women Screened for Chlamydia: Ages 16 to 20,2019,CHIP only,Administrative,32.4,47,49.9,44.7,58.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0 to 3,DEV-CH,Higher rates are better for this measure,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0 to 3",2019,Medicaid only,Administrative,21.1,28,32.7,21.8,54,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Developmental Screening in the First Three Years of Life: Ages 0 to 3,DEV-CH,Higher rates are better for this measure,"Percentage Screened for Risk of Developmental, Behavioral, and Social Delays Using a Standardized Screening Tool: Ages 0 to 3",2019,CHIP only,Administrative,40.4,28,32.7,21.8,54,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2019,Medicaid only,Administrative,41.0,45,34.4,30.5,39.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations. Administrative data sources are claims/encounters and state immunization registry.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2019,Medicaid only,Administrative,81.4,44,78.6,66.7,85.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rates include FFS and PCCM populations. Administrative data sources are claims/encounters and state immunization registry.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Completing the Human Papillomavirus (HPV) Vaccine Series by Their 13th Birthday,2019,CHIP only,Administrative,28.7,45,34.4,30.5,39.5,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. Administrative data sources are claims/encounters and state immunization registry.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Immunizations for Adolescents: Age 13,IMA-CH,Higher rates are better for this measure,Percentage Receiving Meningococcal Conjugate and Tdap Vaccines (Combination 1) by Their 13th Birthday,2019,CHIP only,Administrative,73.0,44,78.6,66.7,85.3,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rates include separate CHIP population. Rates exclude children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rates. Administrative data sources are claims/encounters and state immunization registry.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrician/Gynecologist who had Body Mass Index Percentile Documented in the Medical Record: Ages 3 to 17,2019,Medicaid only,Administrative,24.9,38,69.7,45.8,80,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents - Body Mass Index Assessment for Children/Adolescents: Ages 3 to 17,WCC-CH,Higher rates are better for this measure,Percentage who had an Outpatient Visit with a Primary Care Practitioner or Obstetrician/Gynecologist who had Body Mass Index Percentile Documented in the Medical Record: Ages 3 to 17,2019,CHIP only,Administrative,33.5,38,69.7,45.8,80,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
Alabama,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2019,Medicaid only,Administrative,65.5,48,64,57.3,69.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",Medicaid rate includes FFS and PCCM populations.,Yes
Alabama,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Higher rates are better for this measure,Percentage who had 6 or More Well-Child Visits with a Primary Care Practitioner during the First 15 Months of Life,2019,CHIP only,Administrative,77.4,48,64,57.3,69.7,,"Mathematica analysis of MACPro reports for the FFY 2019 reporting cycle as of May 31, 2020.",CHIP rate includes separate CHIP population. Rate excludes children enrolled in Medicaid-expansion CHIP; these children are included in the state's Medicaid rate.,No
